"source_bucket","skill_name","matched_keywords"
"global-claude","autonomous-loops","Code Review | Opus | Quality + security"
"global-claude","configure-ecc","CSRF;SQL injection;XSS"
"global-claude","django-patterns","csrf;Csrf;CSRF"
"global-claude","django-security","CSRF;SQL injection;XSS;SQL Injection;csrf"
"global-claude","django-verification","gitleaks"
"global-claude","dotnet-sast-pipeline","sastsast SAST dotnet list package --vuln OWASP Top 10 閬????(5) 隞颱?????.NET 瞍????C# 摰???遣蝡?dotnet SAST sast sast sast semgrep sast sast sast dotnet list package --vuln Semgrep semgrep SecurityCodeScan security-scan Gitleaks gitleaks dotnet list package --vulnerable  ?? nuget-vuln Semgrep semgrep SecurityCodeScan Gitleaks gitleaks Semgrep Semgrep Semgrep Semgrep dotnet vuln Semgrep Semgrep Gitleaks Semgrep XSS Semgrep CSRF dotnet-vuln-patterns.md](references/dotnet-vuln dotnet-vuln SQL Injection sast sast sast sast"
"global-claude","geo-technical","XSS"
"global-claude","laravel-security","CSRF;Csrf;SQL Injection;XSS;csrf"
"global-claude","notebooklm-global","CSRF"
"global-claude","perl-security","XSS;CSRF;SQL Injection;csrf"
"global-claude","plankton-code-quality","semgrep;AgentShield;Semgrep"
"global-claude","prompt-optimizer","code-review | security-review | code-reviewer, security;code-review. Then use security;XSS;CSRF"
"global-claude","security-review","SQL Injection;XSS;CSRF;csrf;Security Academy](https://portswigger.net"
"global-claude","security-scan","security-scansecurity-scan AgentShield AgentShield agentshield AgentShield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield"
"global-claude","springboot-security","CSRF;SQL Injection;csrf;xss;Snyk"
"global-claude","strategic-compact","xss"
"global-agents","autonomous-loops","Code Review | Opus | Quality + security"
"global-agents","configure-ecc","CSRF;SQL injection;XSS"
"global-agents","django-patterns","csrf;Csrf;CSRF"
"global-agents","django-security","CSRF;SQL injection;XSS;SQL Injection;csrf"
"global-agents","django-verification","gitleaks"
"global-agents","geo-technical","XSS"
"global-agents","laravel-security","CSRF;Csrf;SQL Injection;XSS;csrf"
"global-agents","notebooklm-global","CSRF"
"global-agents","perl-security","XSS;CSRF;SQL Injection;csrf"
"global-agents","plankton-code-quality","semgrep;AgentShield;Semgrep"
"global-agents","prompt-optimizer","code-review | security-review | code-reviewer, security;code-review. Then use security;XSS;CSRF"
"global-agents","security-review","SQL Injection;XSS;CSRF;csrf;Security Academy](https://portswigger.net"
"global-agents","security-scan","security-scansecurity-scan AgentShield AgentShield agentshield AgentShield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield agentshield"
"global-agents","skill-code-review","code review with quality and security;code-reviewer ""Review this pull request for security"
"global-agents","springboot-security","CSRF;SQL Injection;csrf;xss;Snyk"
"global-agents","strategic-compact","xss"
