"bucket","name","hits"
"global-claude","django-security","0"
"global-claude","django-verification","2"
"global-claude","dotnet-sast-pipeline","43"
"global-claude","laravel-security","1"
"global-claude","perl-security","4"
"global-claude","plankton-code-quality","3"
"global-claude","security-review","4"
"global-claude","security-scan","1"
"global-claude","springboot-security","3"
"global-claude","springboot-verification","3"
"global-agents","django-security","0"
"global-agents","django-verification","2"
"global-agents","laravel-security","1"
"global-agents","perl-security","4"
"global-agents","plankton-code-quality","3"
"global-agents","security-review","4"
"global-agents","security-scan","1"
"global-agents","skill-code-review","2"
"global-agents","skill-security-framing","0"
"global-agents","springboot-security","3"
"global-agents","springboot-verification","3"
